donor_id,full_name,gender,age,weight_kg,height_cm,blood_pressure,pulse_rate,latitude,longitude,bmi,hemoglobin_g_dl,medications,email,password_hash,mobile,city,blood_group,availability,months_since_first_donation,days_since_last_donation,total_donations,total_litres_donated,last_donation_date,show_rate,avg_response_time_hours,response_history,record_created
JD000208,لينا لخم,Male,40,90.4,178.0,115/89,60,32.029472,36.097854,28.53,14.0,None,alklgasysadq@example.net,91129d66eaa3e6b6df58575979d880dc4e00a10bef2c1e546608323763e54c65,0789112230,Zarqa,O+,Yes,97,56,2,0.9,2025-11-18,0.86,0.2,"['responded', 'responded']",2026-01-13 03:46:18
JD000209,وائل بنو خالد,Male,42,61.7,184.0,130/71,64,32.4949,35.878465,18.23,14.9,None,sedbw-mdyn@example.com,b95d7c2287fac46470c9e7565c83602f737fbe475e30bd46cd6eef3015343e0e,0799813195,Irbid,A+,No,91,104,1,0.45,2025-10-01,0.84,6.1,['no_response'],2026-01-13 03:46:18
JD000210,الدكتور عزمي كمال,Male,43,87.0,171.8,97/78,62,31.459626,36.126702,29.5,14.6,"Metformin, Aspirin",mrtjyalearf@example.net,4ef65fb015a7dad46020f1338457e8406ab0e229ab769fcedabc85ec4b78645e,0792038770,Other,A+,Yes,29,225,1,0.45,2025-06-02,0.79,4.2,['responded'],2026-01-13 03:46:18
JD000211,زهران الكثيري,Male,29,71.7,171.0,137/82,69,32.548713,35.81209,24.5,12.5,Atorvastatin,bnw-alhmr-bn-alharvabtsam@example.net,d15b7ac6af1de9f6eed904a0b23084dd8a867b800a823c4903fd1e7b72cbeb9b,0784542050,Irbid,A+,No,38,432,4,1.8,2024-11-07,0.73,0.6,"['no_response', 'responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000212,الآنسة خاشعة زلاطيمو,Male,35,65.1,179.9,107/74,63,32.045914,36.10669,20.11,13.2,None,rytalalmfty@example.org,f717bc8b51865cd212342414e7d63f2b8d2a790250f2cb49a2e5b125485324e4,0771619801,Zarqa,B+,No,4,204,3,1.35,2025-06-23,0.83,10.9,"['responded', 'responded', 'no_response']",2026-01-13 03:46:18
JD000213,السيدة أفراح بديرية,Male,31,83.3,176.6,126/76,74,31.992232,36.036618,26.72,12.5,None,jalamam@example.com,1e6ceb7842d04c7d02427351f321c70f379dddb08299263a512e3662f31eadb9,0786357857,Amman,O-,No,114,417,3,1.35,2024-11-22,0.91,3.0,"['responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000214,المهندس ماجد بنو مهدي,Male,23,88.8,169.5,114/91,60,31.052461,36.083228,30.92,14.2,None,lazhyman@example.com,dc7cc82209dd9e49e0274829dd74b5aece0ae2e08691996fb1f7bfb9908a8c4d,0784625836,Other,O+,No,47,56,2,0.9,2025-11-18,0.73,1.1,"['responded', 'no_response']",2026-01-13 03:46:18
JD000215,المهندسة سلاف البخاري,Male,21,91.3,170.9,106/80,65,32.090715,35.949698,31.27,14.4,None,gzyrhyl@example.net,192ce54fe198ea3a6aeb387f44e6b58581ffa4bd56095ae0b6cadf8f68c13c59,0799799883,Amman,A+,Yes,14,56,1,0.45,2025-11-18,0.87,5.4,['no_response'],2026-01-13 03:46:18
JD000216,مُناضل بتروني,Male,26,71.7,188.1,124/71,74,31.88385,35.875395,20.26,14.5,Atorvastatin,ywnsedwan@example.com,7a480e004629085d807e8f1aaaf5ec9cc4e3b7c9b27d362904ab54509423e967,0786185402,Amman,O+,Yes,10,203,3,1.35,2025-06-24,0.82,1.0,"['no_response', 'responded', 'responded']",2026-01-13 03:46:18
JD000217,حمدي الرباطاب,Male,36,64.2,179.6,101/85,89,32.503951,35.801262,19.89,12.5,None,kalqwasm@example.net,e75e51f87e264fb95eef0ee49f83bf7770268998c86c6736826213601ba9f012,0796933468,Irbid,O+,No,89,153,2,0.9,2025-08-13,0.81,0.6,"['responded', 'responded']",2026-01-13 03:46:18
JD000218,الأستاذة بثينة بنو العريج,Male,35,65.3,167.7,140/77,60,31.856687,35.883473,23.21,13.3,None,nsry68@example.org,5567045755071dd13f0ed70e0cb6964845181149efae70605fbde05634ff8710,0795163843,Amman,A+,No,60,59,2,0.9,2025-11-15,0.94,1.6,"['responded', 'responded']",2026-01-13 03:46:18
JD000219,بشرى نور الدين,Male,39,102.5,180.4,100/82,75,32.062482,36.070401,31.53,15.9,None,uqlybw@example.net,12a33436e55918a18a4fc336f4fbe3b4fce8c1f67902b434bb4098998ecd2186,0791744667,Zarqa,A+,No,10,94,3,1.35,2025-10-11,0.87,3.2,"['responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000220,الأستاذ صالح بنو ذي أصبح,Male,48,76.4,178.5,129/78,76,31.20576,35.728997,23.98,13.3,None,xlyl44@example.net,bfcbf0e4df4d5f519334940bde1350bddeeb1ef7774cc6ab483eecbb502fe78e,0784925640,Other,A+,Yes,0,365,0,0.0,2025-01-13,0.74,2.9,[],2026-01-13 03:46:18
JD000221,لورا زلاطيمو,Male,35,77.5,155.0,118/100,69,30.836655,36.128481,32.27,13.1,None,qlybwevman@example.net,f5381df4febc63eac659af6123e769c19452a44806679d4fdc31cf297317dc31,0775138993,Other,O+,No,119,56,2,0.9,2025-11-18,0.76,3.4,"['no_response', 'no_response']",2026-01-13 03:46:18
JD000222,الأستاذ عزاز بنو لام,Male,36,85.3,186.6,118/76,63,29.496801,34.981727,24.49,12.5,"Lisinopril, Metformin",bnw-aldlmajd@example.org,9be87464c4617e6025c085c76dce1435e10f55d35d5dec9486e80070baf004f3,0793258512,Aqaba,O+,No,96,170,2,0.9,2025-07-27,0.81,1.6,"['responded', 'responded']",2026-01-13 03:46:18
JD000223,المهندسة روبين بنو هلال,Female,32,96.6,161.1,106/69,60,31.84057,35.870666,37.23,13.2,None,ranyqdaep@example.net,d405740bd8e733faeedec47d28c8908fa406e3a27d5d45fae5ce28a466336c20,0792321361,Amman,A+,No,94,56,1,0.45,2025-11-18,0.8,2.2,['responded'],2026-01-13 03:46:18
JD000224,جلنار بنو معقل,Male,57,72.4,170.7,124/82,62,32.618189,35.810194,24.84,14.5,None,wqybnw-sed-bn-bkr@example.com,601d243568f9f14f964984ccbc4bbda8803987f3889e3561327e4c6e8741311e,0794924025,Irbid,A+,No,69,56,1,0.45,2025-11-18,0.94,5.5,['responded'],2026-01-13 03:46:18
JD000225,عزّ الدّين بني هاجر,Male,37,82.3,163.3,138/76,72,30.989491,35.831513,30.88,14.6,Metformin,ialbgdady@example.org,dae7f8bba676acd6186deebba2416962ad689a4e6284b6546bb5ac4807fe5495,0798213794,Other,B-,No,78,392,2,0.9,2024-12-17,0.69,8.2,"['no_response', 'no_response']",2026-01-13 03:46:18
JD000226,الأستاذ منيب الدسوقي,Male,38,95.7,173.8,144/86,63,32.109463,36.032417,31.68,14.8,None,rbnw-fras@example.net,7ae69df550e97bf92ce3c4a8a05837fb0a51a5f8629ad20c79de96e71d40e051,0771217472,Zarqa,O-,No,2,56,2,0.9,2025-11-18,0.67,4.4,"['responded', 'responded']",2026-01-13 03:46:18
JD000227,السيدة بوران بنو ذي أصبح,Male,29,61.3,178.7,115/80,89,32.092399,36.13103,19.19,15.4,"Atorvastatin, Metformin",xlas92@example.net,2505a76fdcfd7d36aba32b823c9195871145459348c2a1ef35a11ec74456bbfa,0777387524,Zarqa,B-,No,118,162,6,2.7,2025-08-04,0.95,2.0,"['responded', 'responded', 'responded', 'responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000228,السيدة هناء بيرقدار,Male,23,74.0,182.6,134/80,68,30.644258,36.088298,22.19,15.7,None,atralhlaq@example.net,43df054321202a17c2027f16dad1695138edad00eee140ee893480213040c85c,0793729999,Other,A+,No,55,331,4,1.8,2025-02-16,0.87,13.2,"['responded', 'responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000229,صنديد الشهابي,Male,34,75.3,177.4,126/87,70,31.890473,35.89315,23.94,14.4,Atorvastatin,alejmandea@example.org,ef9ee4fb9b6e5068ca28e5fbe02f19d5bda2fb0b3811a88a74be27caedb8ab31,0776533988,Amman,A+,Yes,39,486,4,1.8,2024-09-14,0.88,4.5,"['responded', 'responded', 'no_response', 'responded']",2026-01-13 03:46:18
JD000230,الأستاذة راما التوتنجي,Male,51,76.2,187.4,119/69,64,32.049863,35.878955,21.7,14.0,None,hlal00@example.net,de453cf5c01f10b9c5c1b1ff54ac0e41e001b1946989ecb51d0aaa9c49538ee2,0785912296,Amman,AB+,No,21,407,4,1.8,2024-12-02,0.93,6.0,"['responded', 'responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000231,الأستاذة دعاء السيفي,Male,35,78.7,173.5,129/67,81,31.972222,36.005413,26.15,13.9,None,varalhda@example.net,b5cc9333eae90f718faad0863cc1634596c510071c49313e014b4d12e941b7ca,0785131133,Amman,O+,Yes,34,291,3,1.35,2025-03-28,0.4,1.2,"['no_response', 'no_response', 'no_response']",2026-01-13 03:46:18
JD000232,الدكتور محيي الدّين ألمع,Male,25,75.3,174.4,106/89,75,32.143468,36.137396,24.78,13.6,"Metformin, Lisinopril",tbtrwny@example.net,74ef8be7d882b0f0f3534ff61ef9ea8ee9f8d3fbd704f7041f07e8b3389ec13b,0772960897,Zarqa,A+,No,18,84,6,2.7,2025-10-21,0.57,0.6,"['responded', 'responded', 'responded', 'responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000233,ظهير عتيبة,Male,36,63.7,171.1,125/90,74,32.073182,35.915145,21.75,14.6,None,mrazyq-albqwmyhyy@example.com,a3d4fbac2049b9235c87b51c832bd2e6591db0b6976f97ab4a446a23bf8bca71,0783144684,Amman,A+,No,99,56,1,0.45,2025-11-18,0.7,7.7,['responded'],2026-01-13 03:46:18
JD000234,الأستاذ عبد الواحد اسطمبولي,Male,45,67.9,170.2,127/80,64,30.786531,35.597844,23.42,13.7,"Lisinopril, Aspirin",mutwkl12@example.net,91c609a85b86f3233ef45d692347f8a2ca3ec73492c063c43ec5b2f88c3a8ac9,0788117614,Other,O+,Yes,104,482,4,1.8,2024-09-18,0.94,8.2,"['responded', 'responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000235,فارس الخالدي,Male,24,56.8,173.3,137/71,60,31.917922,35.88411,18.92,13.1,None,zharaleqydat@example.com,491d4aa30fd67f29f748c9f1eb0b52baa52735bdf18bde9c4150e9b588f03436,0785765319,Amman,AB+,Yes,90,169,4,1.8,2025-07-28,0.71,1.9,"['responded', 'responded', 'no_response', 'responded']",2026-01-13 03:46:18
JD000236,السيدة ليان بنو أمية,Male,28,69.0,165.8,124/84,60,31.89392,35.891446,25.09,13.8,None,nzamhran@example.org,3746716a07cf2e866030700631593b5c6ef256599d37b6d4d9237235265bc9bc,0785278927,Amman,A+,Yes,114,327,1,0.45,2025-02-20,0.87,27.6,['responded'],2026-01-13 03:46:18
JD000237,الأستاذة وصاف المتولي,Female,33,75.4,148.3,120/84,74,32.077192,36.043111,34.3,13.4,None,rynad25@example.net,e7c40bcd14b97ce8abc7fa92cfed60a142b031cc89f02478ac4deea5e12ce92f,0793769471,Zarqa,B+,No,86,56,3,1.35,2025-11-18,0.65,1.0,"['no_response', 'no_response', 'no_response']",2026-01-13 03:46:18
JD000238,المهندسة تاليا الزرقان,Male,54,60.8,179.4,101/60,60,32.010101,35.926243,18.88,13.7,None,eaqlbnw-yban@example.com,1925287911630a0d5dbc3a600d86dc2e8993c0cb953c869792d951e9a81c1ed3,0795639814,Amman,B+,No,10,56,6,2.7,2025-11-18,0.94,3.1,"['responded', 'responded', 'responded', 'responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000239,الآنسة مادلين المغربي,Male,38,50.0,155.0,106/71,77,32.06828,36.073619,20.81,14.3,Metformin,palqwasm@example.com,e1657c7da34073874486b9200a21bbcc2a98fc5ac6b4aad77c0f9ae4e9f5d38e,0799200876,Zarqa,A+,Yes,0,365,0,0.0,2025-01-13,0.85,0.3,[],2026-01-13 03:46:18
JD000240,بنان بنو ياس,Male,40,83.2,181.0,130/67,71,29.565842,34.971912,25.41,15.3,None,ayafe@example.net,4c7896f3b5c8a3c7698aea276d290248a62e1926240d77c77bcb336af326ee96,0782159400,Aqaba,O+,Yes,53,56,1,0.45,2025-11-18,0.65,3.2,['responded'],2026-01-13 03:46:18
JD000241,فوزي متني,Male,23,82.4,171.9,123/92,71,30.796935,35.54929,27.89,13.3,None,yb74@example.net,7676175eb2eb4c25df5713b9cb4f81b0b88d0852dc9266e0c77b5307e981312f,0776141803,Other,A+,Yes,78,87,1,0.45,2025-10-18,0.85,6.3,['responded'],2026-01-13 03:46:18
JD000242,الآنسة نغم بنو عمرو,Male,37,83.6,176.9,120/77,76,31.013127,36.39139,26.71,13.5,None,zmtny@example.com,5623a79107b6b23efae52c4bced1822506348d9c8eb23e85e47fc26f35a2382b,0779904808,Other,B+,No,32,224,2,0.9,2025-06-03,0.9,4.2,"['responded', 'responded']",2026-01-13 03:46:18
JD000243,الآنسة لوليا البديري,Male,24,53.5,181.4,133/81,69,32.513755,35.87607,16.25,13.6,None,lanaalawy@example.org,a0a4c8564a1a29c99753f9ddab5b96e8a89de9c7bcbfcd47de73f4797881072e,0792052361,Irbid,O+,No,2,93,2,0.9,2025-10-12,0.66,0.7,"['responded', 'responded']",2026-01-13 03:46:18
JD000244,السيد صعب البديري,Male,48,66.8,162.5,139/73,60,31.97576,36.042511,25.28,13.6,None,gzyraljaewny@example.org,18c58c8541a82cd6acd7bb9957385430a51e844b023703a7926035522d95de3f,0772433055,Amman,A+,No,103,56,2,0.9,2025-11-18,0.98,0.2,"['responded', 'responded']",2026-01-13 03:46:18
JD000245,عبد القدّوس سبيع,Male,18,51.2,186.0,130/83,73,30.918708,36.177305,14.78,14.4,None,nalsyfy@example.org,d0f2fdb23fd73ae9032014eba09a0af9717375ca6cf75ffa4b0d3f6508dddea7,0791681159,Other,O+,Yes,61,394,2,0.9,2024-12-15,0.7,0.9,"['responded', 'responded']",2026-01-13 03:46:18
JD000246,فكري مرازيق البقوم,Male,48,50.0,167.6,117/82,74,32.093752,36.074846,17.8,14.0,None,mnafalmhrp@example.com,47a3780a8df455f9f6079d3a89fc93a14a68441c25ebca211af3a829260a5f53,0777001031,Zarqa,O+,No,79,56,1,0.45,2025-11-18,0.67,3.2,['responded'],2026-01-13 03:46:18
JD000247,نور الحقّ القلموني,Male,38,60.8,185.3,130/80,76,31.905811,35.863033,17.73,14.0,None,jmalekawy@example.net,7198bcd014460327a2cd71a0417b303b3f2a912d0ac644066f12a62739bbe4b8,0799527461,Amman,O-,Yes,0,230,1,0.45,2025-05-28,0.78,0.9,['responded'],2026-01-13 03:46:18
JD000248,الآنسة كرمة العارف,Male,36,79.4,173.7,107/76,69,31.990601,35.908383,26.33,14.5,Atorvastatin,asylth@example.org,fbf55719715f89e2a0a522517169b929a5450164a90256fbdd67ed7cbeff4044,0796407724,Amman,O+,Yes,74,253,1,0.45,2025-05-05,0.69,7.1,['no_response'],2026-01-13 03:46:18
JD000249,الدكتور ياقوت ميرفاب,Male,57,101.7,173.6,114/74,75,30.872871,35.919278,33.74,14.0,"Aspirin, Lisinopril",ratbzhykp@example.net,035b32837f1109c085f53b02d78fc99ae72206ee703adf5b82365f2ea3049aa7,0776051632,Other,A-,No,69,261,1,0.45,2025-04-27,0.78,2.4,['responded'],2026-01-13 03:46:18
JD000250,مختار كهلان,Male,58,90.6,176.8,140/73,60,30.925819,35.841006,28.96,13.1,None,zermwny@example.net,9b2f367bdfb3d0586c4c5ee715a2ade64983554d8828ef5a8a4aa27a318f6599,0798681542,Other,AB+,No,74,73,3,1.35,2025-11-01,0.98,11.1,"['responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000251,السيدة بلقيس رصاص,Male,29,111.5,189.8,128/87,83,32.040047,36.065136,30.96,14.8,None,qasmebd-alqys@example.net,730b74d6cb7c3fe9d2dcb90a087b2bc80f19e5b8037c5d3b0237f5b023df154f,0796789684,Zarqa,A+,Yes,77,133,2,0.9,2025-09-02,0.81,5.8,"['responded', 'no_response']",2026-01-13 03:46:18
JD000252,أناهيد الزرقان,Male,42,51.2,185.8,124/78,78,30.982987,35.887385,14.82,13.9,None,djzar@example.net,94cfd9baf69560ef2931792caa462106ae441d243b5be5c197ad37cbf1d37aa7,0784278799,Other,O+,No,23,56,1,0.45,2025-11-18,0.88,9.7,['responded'],2026-01-13 03:46:18
JD000253,الدكتورة أناهيد الجاعوني,Male,51,99.4,175.6,136/86,70,31.311341,36.330852,32.26,12.9,"Lisinopril, Metformin",farwq77@example.net,055d3dfc56736c3dddddaa0ea7c7deed2a7c40bfcf7a648139e5dcb382e1d29c,0772367888,Other,B+,No,13,56,1,0.45,2025-11-18,0.91,2.2,['responded'],2026-01-13 03:46:18
JD000254,ابتهاج الرباطاب,Male,38,76.8,178.5,104/88,77,31.947459,35.993764,24.09,13.7,None,ebd-alkwralzmamyry@example.net,90b79d44afa9e3030a5d36894d2478b195632106695e44343050155a22f0022c,0789731314,Amman,A+,Yes,78,97,3,1.35,2025-10-08,0.82,0.4,"['no_response', 'responded', 'responded']",2026-01-13 03:46:18
JD000255,غوى بيرقدار,Male,24,69.3,182.4,131/63,65,31.838657,35.889147,20.81,15.6,None,mutwly98@example.net,1506bc1773e69c0d2768f4879647e7fed12be248308509161dd7fac6e8a2e9e1,0791924892,Amman,A+,No,32,60,2,0.9,2025-11-14,0.83,4.3,"['responded', 'responded']",2026-01-13 03:46:18
JD000256,الدكتور سعدي الغوانمة,Male,27,86.4,171.9,125/72,77,32.090139,35.986686,29.22,14.1,Lisinopril,rmzyalbamyp@example.com,8a3db7c455146d532be53d13c3ae1dc54a300996f08fbaf02b2cfca89a7a35a5,0793522186,Amman,A+,Yes,55,115,1,0.45,2025-09-20,0.95,0.0,['responded'],2026-01-13 03:46:18
JD000257,الدكتورة بنفسج أكلب,Male,36,94.7,172.2,126/94,75,32.523431,35.874578,31.92,13.6,None,jwana47@example.com,baeab16d85ec431b3f1f9bb83f733cf557a94a8c577267c2d6eacf3134992603,0791431893,Irbid,B+,Yes,27,56,3,1.35,2025-11-18,0.93,1.6,"['responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000258,إباء المتولي,Male,30,50.9,181.3,136/68,60,31.023905,36.207389,15.49,12.5,None,ebd-alezyzalmrazyq@example.org,e8947feb9d818e6b403f8a452af1d734ea1edef52f0cd27ee69325b27b9275a5,0794737394,Other,O+,Yes,53,70,2,0.9,2025-11-04,0.47,1.5,"['no_response', 'no_response']",2026-01-13 03:46:18
JD000259,ريمان بنو عمرو,Male,40,66.6,183.6,120/83,62,31.889793,35.860829,19.78,13.2,Aspirin,fnhd@example.org,94665431cf5e919d97dc39e2bbe5034324579c9ba49372f6fb242b7673fb05d9,0788838040,Amman,A+,Yes,44,236,5,2.25,2025-05-22,0.96,2.0,"['responded', 'responded', 'responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000260,الآنسة آيات زحلاوي,Male,24,77.7,171.6,114/83,83,32.132329,36.048793,26.41,13.1,"Metformin, Aspirin",mazn28@example.com,4bc2c95419f26d39791580b9c6d89de304fb2ba3080ed4dc493bb2ec11eae365,0777189496,Zarqa,O+,Yes,75,142,4,1.8,2025-08-24,0.81,1.1,"['responded', 'responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000261,عبد المجيد سبيع,Male,33,92.1,170.0,123/68,77,31.074123,36.309187,31.88,13.7,None,muslhbdyryp@example.org,ab7899e07b40207c936044e69eddad8848e59cf6c911f93a6de7bede25bc50fd,0781814701,Other,O+,No,0,365,0,0.0,2025-01-13,0.91,2.3,[],2026-01-13 03:46:18
JD000262,ساهر بنو مالك,Male,40,62.9,160.7,115/81,74,32.020021,36.074021,24.36,14.1,None,walrfa@example.org,146369e3174ec0de0a7eaee5b2bcf0b808a96f8180ad7226732d0542de49e123,0795820520,Zarqa,O+,No,0,365,0,0.0,2025-01-13,0.83,3.5,[],2026-01-13 03:46:18
JD000263,زهرة الدسوقي,Male,34,65.3,172.3,128/78,76,31.973396,35.821982,21.98,15.0,"Aspirin, Atorvastatin",samy02@example.net,2e232bcccae51c5af26ddeef05ecc5f0b9ddc7576cb14dd0f3a61c39bb718ac5,0783611123,Amman,A+,Yes,70,77,3,1.35,2025-10-28,0.86,2.8,"['responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000264,رمزي الشايقية,Male,39,59.4,170.9,137/64,71,31.016039,36.058842,20.33,15.5,None,ermwnyfayd@example.com,ec1ee52d01b2fb3b5f328f8440d5a4564ef2e36ce500237102f669c6bab4ec19,0772957425,Other,B+,Yes,0,365,0,0.0,2025-01-13,0.87,3.6,[],2026-01-13 03:46:18
JD000265,الآنسة ابتهاج ابو السعود,Male,42,70.7,191.8,122/76,75,31.46768,36.039005,19.22,14.7,None,cmr@example.org,775708288500d73737c5973394b4c9b3422a1ffa9943a209fc67d09552cbfac7,0784531472,Other,B+,Yes,60,77,2,0.9,2025-10-28,0.99,0.4,"['responded', 'responded']",2026-01-13 03:46:18
JD000266,ساهر بنو حنيفة,Male,45,71.5,170.4,122/68,68,30.961708,36.427683,24.63,14.3,None,fxr-aldyn28@example.net,9db9156d05e0b9949862deb4710245a2e34755aa382d0d98760d6513df4e6eb0,0775636976,Other,A+,No,58,180,3,1.35,2025-07-17,0.81,8.1,"['no_response', 'responded', 'responded']",2026-01-13 03:46:18
JD000267,المهندس رزين الكالوتي,Male,44,74.7,171.0,105/97,69,31.229874,35.975974,25.55,15.8,None,qtz63@example.net,da6e6f912f693131a16596ff9c7740eb05ea7a8b2f1feb45115f07c35c4dd41c,0794380117,Other,B+,Yes,0,365,0,0.0,2025-01-13,0.76,2.2,[],2026-01-13 03:46:18
JD000268,الدكتورة فردوس الكواهلة,Male,18,52.0,176.2,111/76,73,32.515619,35.860355,16.75,14.1,None,edwanzhrp@example.com,d89cafd5748a9523ded8c06ae90e261298abb46813a75da63df3b9c5064fb527,0786606736,Irbid,B+,Yes,91,56,1,0.45,2025-11-18,0.86,8.2,['responded'],2026-01-13 03:46:18
JD000269,تولين ربيعة,Male,21,106.2,168.4,118/74,62,32.023579,35.983299,37.45,15.1,Lisinopril,barqmhyy-aldyn@example.net,b5cf6b34ade03817025b4f37a91f744908b6f0f5a565d3d143be4cfcf785bf47,0773291872,Amman,O+,No,15,56,2,0.9,2025-11-18,0.52,0.4,"['no_response', 'no_response']",2026-01-13 03:46:18
JD000270,السيدة جوانا الشحوح,Male,37,78.6,173.9,115/92,67,32.123617,36.163024,25.99,12.5,Lisinopril,aldqaqyara@example.org,a19ee7eb0381c6c34b467f637a361c021f540140f7fa36a341f8980f6d580973,0781625040,Zarqa,AB+,No,37,87,1,0.45,2025-10-18,0.9,1.3,['no_response'],2026-01-13 03:46:18
JD000271,نغم بيرقدار,Male,33,80.2,177.3,110/83,60,31.839061,35.877766,25.51,15.1,None,alljawymrtjy@example.org,2f2be07064e1ebf580a108d1a9003c335be5f2c10a2d755a6359f8632afd650e,0797831319,Amman,O+,No,31,170,5,2.25,2025-07-27,0.88,2.5,"['responded', 'responded', 'responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000272,السيدة هايدي العوازم,Male,18,85.1,175.5,125/83,60,31.086917,35.982537,27.6,12.5,None,xzaepebd-alhfyz@example.com,d9750f66413ed6c20821b270b306a624b24e0630b96179157c841527b83be428,0772253606,Other,A+,Yes,76,56,2,0.9,2025-11-18,0.88,3.3,"['responded', 'responded']",2026-01-13 03:46:18
JD000273,الدكتور طلال بنو كلب,Male,42,90.3,187.6,121/92,77,32.016447,35.919749,25.63,15.8,None,aljbperfat@example.org,56bf114538c25184c0a8f2195fb01dc9365041b9e5f6ec343c2ff2b5c9df0f21,0784724717,Amman,O+,Yes,0,365,0,0.0,2025-01-13,0.95,0.7,[],2026-01-13 03:46:18
JD000274,الآنسة جالا بني عطية,Male,31,83.7,182.4,132/77,68,32.586771,35.779762,25.18,14.0,Atorvastatin,zgwp@example.net,b9cac972c8f7ce2058d6ab12c381208132329ea33bc3c7216fd474081987507a,0793675670,Irbid,B+,No,99,277,4,1.8,2025-04-11,0.94,17.4,"['responded', 'responded', 'responded', 'no_response']",2026-01-13 03:46:18
JD000275,غسّان بنو الدئل,Male,18,85.8,164.8,113/72,69,31.162841,36.404478,31.6,13.3,"Lisinopril, Atorvastatin",hmdannzam@example.com,8c88b1573b48e2286d6edfbd68fb5505c91bf039cf83370aaada555652468900,0796938578,Other,O-,Yes,52,56,2,0.9,2025-11-18,0.94,3.7,"['responded', 'responded']",2026-01-13 03:46:18
JD000276,الأستاذة لورين بنو الأسمر,Male,42,76.1,171.7,129/79,77,31.125626,36.260193,25.81,14.7,None,uhyl@example.net,d00860ef3db3880e1b5a9246400bbc2612cf659ae80bdcdd31ac3959d8ee69b8,0791467405,Other,O+,No,25,57,1,0.45,2025-11-17,0.73,1.1,['no_response'],2026-01-13 03:46:18
JD000277,الأستاذة بتلاء العسلي,Male,43,50.0,170.5,139/80,69,32.089064,36.151405,17.2,14.3,None,jlylbdyryp@example.com,e52b1541dd1da96cb2d34a1b536cf5697665df5dd687734945c13b5213790fa6,0782356944,Zarqa,O+,No,57,162,1,0.45,2025-08-04,0.91,4.3,['responded'],2026-01-13 03:46:18
JD000278,إلينا زبيد,Male,36,87.3,162.6,96/86,62,31.950676,35.795253,33.04,13.9,None,rytal16@example.net,0e965c62191fb8a175c6fc99c1d1524ace05dfc35eba18cdbb44809592d64a9f,0789267248,Amman,B-,No,109,56,3,1.35,2025-11-18,0.88,2.3,"['responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000279,الأستاذة بلماء الرباب,Male,37,86.3,165.8,123/65,61,32.573114,35.85976,31.41,12.7,"Metformin, Atorvastatin",sqrbnw-aleryj@example.com,bd1de3acd35f3cbbe0ac6bcf52015ac85d64d8fd260bbf793a9073f1eaafce3e,0775788481,Irbid,B+,No,26,86,1,0.45,2025-10-19,0.93,2.2,['responded'],2026-01-13 03:46:18
JD000280,حنبل بجيلة,Male,30,68.5,176.8,103/77,81,30.691058,36.07764,21.9,13.9,None,hyvm64@example.net,feae14a885a778307d65a92d14103cbbff25bdc989455d4f2a5ca1f42cba493c,0784950989,Other,O+,Yes,46,56,5,2.25,2025-11-18,0.62,2.5,"['responded', 'no_response', 'responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000281,عتاب الأنصاري,Male,33,68.5,167.8,127/75,74,31.867083,36.061473,24.31,13.4,None,yb77@example.net,51f2dbbe5b215227231d084f88895d58153dbb1a52607f2bbae3838c2da2596e,0787937076,Amman,A-,Yes,4,73,3,1.35,2025-11-01,0.67,9.5,"['responded', 'no_response', 'responded']",2026-01-13 03:46:18
JD000282,السيد عصمت يافع,Female,30,82.2,154.4,104/63,77,31.143816,35.879725,34.49,15.3,None,alzrqansfyr@example.org,656e5e5cd0ebe7c633adac6892b4f91dd1d536e6eea98a409a9856c8dfb79685,0772317985,Other,O+,No,67,130,1,0.45,2025-09-05,0.8,2.8,['responded'],2026-01-13 03:46:18
JD000283,الأستاذ جسور نجيب,Male,54,75.2,183.9,124/73,63,32.064202,36.010824,22.23,13.9,None,razyeamlp@example.org,0ed8960c745526667fbaf4dfd62d984f95e085f571ac4aa843700ef731db7bdd,0778278640,Amman,A+,Yes,56,273,4,1.8,2025-04-15,0.76,4.0,"['responded', 'responded', 'responded', 'responded']",2026-01-13 03:46:18
JD000284,ماذى حرب,Male,37,67.8,176.8,112/74,60,31.976045,35.897967,21.68,13.3,None,mrtdyalmntfq@example.net,9d8bf77da87f427c3cf098c33ef18f6128de16f0746eab1304d8fd6b71630727,0771149907,Amman,B-,No,28,151,2,0.9,2025-08-15,0.57,7.4,"['responded', 'no_response']",2026-01-13 03:46:18
